,accuracy,recall,f1_score,auc_roc,umbral_usado
logistica,0.8411764705882353,0.05263157894736842,0.06896551724137931,0.48100383408853264,0.7
rf,0.8647058823529412,0.10526315789473684,0.14814814814814814,0.5623910770303242,0.25
xgb,0.8764705882352941,0.0,0.0,0.5967235970721505,0.25
lstm,0.888235294117647,0.0,0.0,0.4606134541652143,0.7
